id,link,style,location,company,area,decade,floor,direction,address,price,pricepm,education,subway,imglink
1,3_186829224.htm,4室2厅,渝中,来福士广场住宅,333,2013,高层,南北向,朝天门-重庆市渝中区朝天门广场,1180,35435,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/25/M9/44/c242555dfb30481c851beec1806cb47b/220x165c.jpg
2,3_186651294.htm,4室2厅,渝中,公务员小区,156,2006,低层,南向,大坪-大坪街道大黄路28号,200,12821,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/9/M12/14/784b92bac05746a9bbf1b267ab0e2c61/220x165c.jpg
3,3_184742292.htm,5室3厅,渝中,鹅岭,260,2013,高层,南北向,两路口-鹅岭公园旁,696,26769,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_9/1/M18/8/c3c91b336f464e3abcd8e6e63892b0fa/220x165c.jpg
4,3_187127498.htm,1室1厅,渝中,富家园,51,2005,中层,南北向,上清寺-重庆市渝中区牛角沱交通巷8号,45,8824,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/9/M16/39/3b3db1f120cf4f7a96c8988be4a45bcb/220x165c.jpg
5,3_184778620.htm,2室2厅,渝中,瑞安翠湖天地,86,2013,低层,南向,化龙桥-化龙桥永嘉路45号(企业天地旁),175,20349,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_9/2/M14/47/0cd0f45e85f44863a74a5f5ba2a8c363/220x165c.jpg
6,3_187392907.htm,2室1厅,渝中,卡萨国际公寓,70,2007,中层,北向,解放碑-重庆市渝中区华一路2号(北区路一号桥公交车站,114.8,16400,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/20/M22/2/d0b9c0f0d2ed43d59f38b80084ac2b89/220x165c.jpg
7,3_187297284.htm,2室2厅,渝中,凌云阁,78,2012,中层,南向,大坪-重庆市渝中区大坪白云宾馆对面,90,11538,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/16/M16/35/23ea2b9f9860498b8698f6e13463347e/220x165c.jpg
8,3_187368479.htm,2室1厅,渝中,和泓江山国际,68,2013,低层,南向,大坪-肖家湾公交车站旁(大坪医院往两路口方向的肖家,118,17353,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/19/M20/30/b6a5be1463cc453db68b873cd6db92bc/220x165c.jpg
9,3_186961721.htm,3室1厅,渝中,大同方城市公寓,105,2000,中层,东南向,解放碑-重庆市渝中区大同路38号,120,11429,false,2,http://img11.soufunimg.com/viewimage/agents/2018_11/03/M1B/10/4E/ChCE4lvc9ymIfIAXAADm-xMOGPYABHBjwCAVFYAAOcT724/220x165c.jpg
10,3_187406183.htm,1室1厅,渝中,和泓江山国际,31,2013,中层,南向,大坪-肖家湾公交车站旁(大坪医院往两路口方向的肖家,51,16452,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/19/M22/34/9fa6e215e93844ee81a192ea7207903f/220x165c.jpg
11,3_186944691.htm,3室2厅,渝中,星都花园,75,2013,中层,南北向,一号桥-重庆市渝中区人和街13号,103,13733,true,2,http://imgs.soufunimg.com/viewimage/house/2010_06/05/cq/1275736122150_000/220x165c.jpg
12,3_187296063.htm,2室1厅,渝中,书香苑,65.75,2013,中层,南北向,上清寺-华福巷(重庆人民大礼堂旁),123,18707,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/16/M15/51/90db9fef4ec14506a4a0320afd5119b1/220x165c.jpg
13,3_187329723.htm,2室2厅,渝中,日月光解放碑1号,108,2013,中层,南向,解放碑-民权路88号,250,23148,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/10/M19/57/507b8171d1fb42499626fc5210ad229f/220x165c.jpg
14,3_186890603.htm,3室2厅,渝中,瑞安翠湖天地,95,2017,高层,东北向,化龙桥-化龙桥永嘉路45号(企业天地旁),185,19474,false,1,http://img11.soufunimg.com/viewimage/agents/2018_10/31/M14/10/3C/ChCE4VvZC2yIder0AAEEAPxEPNoABG6wAM9PQcAAQQY407/220x165c.jpg
15,3_183111148.htm,1室2厅,渝中,重庆天地雍江艺庭,75,2011,低层,北向,化龙桥-瑞天路138号,160,21333,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_7/31/M10/20/e6f7dba08b5f460c9d2fded6782c1e89/220x165c.jpg
16,3_187163536.htm,1室1厅,渝中,铂金时代,37,2013,中层,南向,两路口-重庆市渝中区长江路市建委旁,38,10270,true,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/11/M9/0/ddd34739645540d197ab8df2d81e9ecc/220x165c.jpg
17,3_186865287.htm,2室2厅,渝中,重庆天地雍江翠�,93,2014,中层,东南向,化龙桥-化龙桥瑞天路138号(原化龙桥嘉陵路),190,20430,false,0,http://img11.soufunimg.com/viewimage/agents/2018_08/24/M00/0F/06/ChCE4Vt_tM6IQnQaAADUupc2awgABFB6QIZTPYAANTS092/220x165c.jpg
